,Country,1998 cpi,1999 cpi,2000 cpi,2001 cpi,2002 cpi,2003 cpi,2004 cpi,2005 cpi,2006 cpi,2007 cpi,2008 cpi,2009 cpi,2010 cpi,2011 cpi,2012 cpi,2013 cpi,2014 cpi,2015 cpi
0,Afghanistan,-,-,-,-,-,-,-,2.5,-,1.8,1.5,1.3,1.3999999999999999,1.52,8,8,12,11
1,Albania,-,2.2999999999999998,-,-,2.5,2.5,2.5,2.3999999999999999,2.6000000000000001,2.8999999999999999,3.3999999999999999,3.2000000000000002,3.2999999999999998,3.0499999999999998,33,31,33,36
2,Algeria,-,-,-,-,-,2.6000000000000001,2.7000000000000002,2.7999999999999998,3.1000000000000001,3,3.2000000000000002,2.7999999999999998,2.8999999999999999,2.8999999999999999,34,36,36,36
3,Angola,-,-,1.7,-,1.7,1.8,2,2,2.2000000000000002,2.2000000000000002,1.8999999999999999,1.8999999999999999,1.8999999999999999,2.0099999999999998,22,23,19,15
4,Argentina,3,3,3.5,3.5,2.7999999999999998,2.5,2.5,2.7999999999999998,2.8999999999999999,2.8999999999999999,2.8999999999999999,2.8999999999999999,2.8999999999999999,3,35,34,34,32
5,Armenia,-,2.5,2.5,-,-,3,3.1000000000000001,2.8999999999999999,2.8999999999999999,3,2.8999999999999999,2.7000000000000002,2.6000000000000001,2.6299999999999999,34,36,37,35
6,Australia,8.6999999999999993,8.6999999999999993,8.3000000000000007,8.5,8.5999999999999996,8.8000000000000007,8.8000000000000007,8.8000000000000007,8.6999999999999993,8.5999999999999996,8.6999999999999993,8.6999999999999993,8.6999999999999993,8.8399999999999999,85,81,80,79
7,Austria,7.5,7.5999999999999996,7.7000000000000002,7.7999999999999998,7.7999999999999998,8,8.4000000000000004,8.6999999999999993,8.5999999999999996,8.0999999999999996,8.0999999999999996,7.9000000000000004,7.9000000000000004,7.79,69,69,72,76
8,Azerbaijan,-,1.7,1.5,2,2,1.8,1.8999999999999999,2.2000000000000002,2.3999999999999999,2.1000000000000001,1.8999999999999999,2.2999999999999998,2.3999999999999999,2.3799999999999999,27,28,29,29
9,Bahamas,-,-,-,-,-,-,-,-,-,-,-,-,-,7.29,71,71,71,-
10,Bahrain,-,-,-,-,-,6.0999999999999996,5.7999999999999998,5.7999999999999998,5.7000000000000002,5,5.4000000000000004,5.0999999999999996,4.9000000000000004,5.1100000000000003,51,48,49,51
11,Bangladesh,-,-,-,0.40000000000000002,1.2,1.3,1.5,1.7,2,2,2.1000000000000001,2.3999999999999999,2.3999999999999999,2.6600000000000001,26,27,25,25
12,Barbados,-,-,-,-,-,-,7.2999999999999998,6.9000000000000004,6.7000000000000002,6.9000000000000004,7,7.4000000000000004,7.7999999999999998,7.7699999999999996,76,75,74,-
13,Belarus,3.8999999999999999,3.3999999999999999,4.0999999999999996,-,4.7999999999999998,4.2000000000000002,3.2999999999999998,2.6000000000000001,2.1000000000000001,2.1000000000000001,2,2.3999999999999999,2.5,2.4199999999999999,31,29,31,32
14,Belgium,5.4000000000000004,5.2999999999999998,6.0999999999999996,6.5999999999999996,7.0999999999999996,7.5999999999999996,7.5,7.4000000000000004,7.2999999999999998,7.0999999999999996,7.2999999999999998,7.0999999999999996,7.0999999999999996,7.4900000000000002,75,75,76,77
15,Belize,-,-,-,-,-,4.5,3.7999999999999998,3.7000000000000002,3.5,3,2.8999999999999999,-,-,-,-,-,-,-
16,Benin,-,-,-,-,-,-,3.2000000000000002,2.8999999999999999,2.5,2.7000000000000002,3.1000000000000001,2.8999999999999999,2.7999999999999998,2.9700000000000002,36,36,39,37
17,Bhutan,-,-,-,-,-,-,-,-,6,5,5.2000000000000002,5,5.7000000000000002,5.7400000000000002,63,63,65,65
18,Bolivia,2.7999999999999998,2.5,2.7000000000000002,2,2.2000000000000002,2.2999999999999998,2.2000000000000002,2.5,2.7000000000000002,2.8999999999999999,3,2.7000000000000002,2.7999999999999998,2.7599999999999998,34,34,35,34
19,Bosnia and Herzegovina,-,-,-,-,-,-,3.1000000000000001,2.8999999999999999,-,3.2999999999999998,3.2000000000000002,3,3.2000000000000002,3.21,42,42,39,38
20,Bosnia and Herzgegovina,-,-,-,-,-,-,-,-,2.8999999999999999,-,-,-,-,-,-,-,-,-
21,Bosnia & Herzegovina,-,-,-,-,-,3.2999999999999998,-,-,-,-,-,-,-,-,-,-,-,-
