Rank,Country,Score,"Electoral process
and pluralism","Functio­ning of
govern­ment","Political
partici­pation","Political
culture","Civil
liberties","Regime
type",Region[n 1],"Changes from
last year"
1,Norway,9.8699999999999992,10,9.6400000000000006,10,10,9.7100000000000009,Full democracy,Western Europe,"Score: 
Rank:"
2,Iceland,9.5800000000000001,10,9.2899999999999991,8.8900000000000006,10,9.7100000000000009,Full democracy,Western Europe
3,Sweden,9.3900000000000006,9.5800000000000001,9.6400000000000006,8.3300000000000001,10,9.4100000000000001,Full democracy,Western Europe
4,New Zealand,9.2599999999999998,10,9.2899999999999991,8.8900000000000006,8.1300000000000008,10,Full democracy,Asia & Australasia
5,Finland,9.25,10,8.9299999999999997,8.8900000000000006,8.75,9.7100000000000009,Full democracy,Western Europe,"Score:  0.11
Rank:  3"
6,Ireland,9.2400000000000002,10,7.8600000000000003,8.3300000000000001,10,10,Full democracy,Western Europe,"Score:  0.09
Rank:"
7,Denmark,9.2200000000000006,10,9.2899999999999991,8.3300000000000001,9.3800000000000008,9.1199999999999992,Full democracy,Western Europe,"Score: 
Rank:  2"
,Canada,9.2200000000000006,9.5800000000000001,9.6400000000000006,7.7800000000000002,9.3800000000000008,9.7100000000000009,Full democracy,North America,"Score:  0.07
Rank:  1"
9,Australia,9.0899999999999999,10,8.9299999999999997,7.7800000000000002,8.75,10,Full democracy,Asia & Australasia,"Score: 
Rank:"
10,Switzerland,9.0299999999999994,9.5800000000000001,9.2899999999999991,7.7800000000000002,9.3800000000000008,9.1199999999999992,Full democracy,Western Europe
11,Netherlands,9.0099999999999998,9.5800000000000001,9.2899999999999991,8.3300000000000001,8.75,9.1199999999999992,Full democracy,Western Europe,"Score:  0.12
Rank:"
12,Luxembourg,8.8100000000000005,10,8.9299999999999997,6.6699999999999999,8.75,9.7100000000000009,Full democracy,Western Europe,"Score: 
Rank:"
13,Germany,8.6799999999999997,9.5800000000000001,8.5700000000000003,8.3300000000000001,7.5,9.4100000000000001,Full democracy,Western Europe
14,United Kingdom,8.5199999999999996,9.5800000000000001,7.5,8.8900000000000006,7.5,9.1199999999999992,Full democracy,Western Europe,"Score:  0.01
Rank:"
15,Uruguay,8.3800000000000008,10,8.5700000000000003,6.1100000000000003,7.5,9.7100000000000009,Full democracy,Latin America,"Score: 
Rank:"
16,Austria,8.2899999999999991,9.5800000000000001,7.8600000000000003,8.3300000000000001,6.8799999999999999,8.8200000000000003,Full democracy,Western Europe,"Score: 
Rank:"
,Spain,8.2899999999999991,9.5800000000000001,7.1399999999999997,7.7800000000000002,8.1300000000000008,8.8200000000000003,Full democracy,Western Europe,"Score:  0.11
Rank:  3"
18,Mauritius,8.2200000000000006,9.1699999999999999,8.2100000000000009,5.5599999999999996,8.75,9.4100000000000001,Full democracy,Sub-Saharan Africa,"Score: 
Rank:  1"
19,Costa Rica,8.1300000000000008,9.5800000000000001,7.5,6.6699999999999999,7.5,9.4100000000000001,Full democracy,Latin America,"Score:  0.06
Rank:  1"
